Key	Korean	English
VisionTool.MatchingReview.CountFailReasonFormat	검출 {0}개가 요구 {1}개보다 적습니다.	Detected count {0} is below the required {1}.
VisionTool.MatchingReview.EdgeCountFailReasonFormat	엣지 후보 {0}개가 요구 {1}개보다 적습니다.	Edge candidate count {0} is below the required {1}.
VisionTool.MatchingReview.SuccessReason	점수와 개수 기준을 통과했습니다.	Score and count criteria passed.
VisionTool.MatchingReview.EdgeSuccessReason	엣지 점수와 개수 기준을 통과했습니다.	Edge score and count criteria passed.
VisionTool.MatchingReview.SuccessNext	결과 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check result boxes and the output layer, then add to pipeline
VisionTool.MatchingReview.EdgeSuccessNext	엣지 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check edge boxes and the output layer, then add to pipeline
VisionTool.MatchingReview.FailureNext	템플릿 ROI, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, min score, and match count, then run preview again
VisionTool.MatchingReview.EdgeFailureNext	템플릿 ROI, Canny 범위, 최소 점수, 매칭 개수를 조정하고 다시 미리보기	Adjust template ROI, Canny range, min score, and match count, then run preview again
VisionTool.MatchingReview.FeatureNoCandidateReason	Ratio/RANSAC 기준을 통과한 특징 후보가 없습니다.	No feature candidate passed the current Ratio/RANSAC criteria.
VisionTool.MatchingReview.NoCandidateCause	원인 후보: 템플릿이 너무 크거나 ROI가 맞지 않거나 대비가 낮거나 최소 점수가 높습니다.	Cause candidates: template too large, ROI mismatch, low contrast, or min score too strict.
VisionTool.MatchingReview.EdgeNoCandidateCause	원인 후보: Canny 범위, 엣지 대비, 템플릿 ROI, 최소 점수, 매칭 개수를 확인하세요.	Cause candidates: Canny range, edge contrast, template ROI, min score, or match count.
VisionTool.MatchingReview.FeatureNoCandidateCause	원인 후보: 특징 텍스처, 템플릿 ROI, Ratio, RANSAC 허용 오차, 이미지 블러를 확인하세요.	Cause candidates: feature texture, template ROI, Ratio, RANSAC tolerance, or image blur.
VisionTool.MatchingReview.ScorePassFormat	최고 점수 {0:0.###} >= {1:0.###}	Best score {0:0.###} >= {1:0.###}.
VisionTool.MatchingReview.EdgeScorePassFormat	최고 엣지 점수 {0:0.###} >= {1:0.###}	Best edge score {0:0.###} >= {1:0.###}.
VisionTool.MatchingReview.FeatureScorePassFormat	특징 점수 {0:0.###} 통과	Feature score {0:0.###} passed.
VisionTool.MatchingReview.CountPassFormat	검출 {0}/{1}개	Detected {0}/{1} matches.
VisionTool.MatchingReview.AngleResultFormat	각도 탐색 결과 {0:0.###}도	Angle search result {0:0.###} deg.
VisionTool.MatchingReview.ScaleResultFormat	배율 탐색 결과 {0:0.###}	Scale search result {0:0.###}.
VisionTool.MatchingReview.MultipleCandidateRisk	여러 후보가 통과했습니다. 반복 패턴이면 ROI를 좁혀 오검출을 줄이세요.	Multiple candidates passed; check repeated patterns and narrow the ROI if false positives appear.
VisionTool.MatchingReview.PyramidReviewHint	피라미드 제안은 속도 옵션입니다. 최종 박스는 원본 이미지에서 확인하세요.	Pyramid proposal is a speed aid; verify final boxes on the original image.
VisionTool.MatchingReview.ScoreFailCause	원인 후보: 템플릿이 너무 크거나 조명이 달라졌거나 ROI가 넓거나 최소 점수가 높습니다.	Cause candidates: template is too large, lighting changed, ROI is too wide, or min score is too strict.
VisionTool.MatchingReview.EdgeScoreFailCause	원인 후보: 엣지 대비가 약하거나 Canny 범위가 좁거나 ROI에 방해 패턴이 있습니다.	Cause candidates: edge contrast is weak, Canny range is too narrow, or ROI contains distractors.
VisionTool.MatchingReview.CountFailCause	원인 후보: ROI가 좁거나 최소 점수가 높거나 템플릿 대비가 부족합니다.	Cause candidates: ROI is too small, min score is high, or template contrast is insufficient.
VisionTool.MatchingReview.EdgeCountFailCause	원인 후보: 검색 ROI가 좁거나 검색 간격이 크거나 엣지 모델 포인트가 부족합니다.	Cause candidates: search ROI is too small, search step is too coarse, or edge model points are insufficient.
VisionTool.MatchingReview.FailureReason	매칭 실패: 템플릿 ROI, 최소 점수, 대비, 매칭 개수를 확인하세요.	Matching failed; check template ROI, min score, contrast, and match count.
VisionTool.MatchingReview.EdgeFailureReason	엣지 매칭 실패: Canny 범위, 엣지 대비, ROI, 최소 점수를 확인하세요.	Edge matching failed; check Canny range, edge contrast, ROI, and min score.
VisionTool.MatchingReview.FeatureFailureReason	특징 매칭 실패: Ratio, RANSAC 허용 오차, 템플릿 텍스처, 이미지 블러를 확인하세요.	Feature matching failed; check Ratio, RANSAC tolerance, template texture, and image blur.
VisionTool.MatchingReview.FeatureSuccessReason	Ratio/RANSAC 기준과 특징 기하가 통과했습니다.	Feature geometry passed the Ratio/RANSAC criteria.
VisionTool.MatchingReview.FeatureSuccessNext	특징 박스와 출력 레이어를 확인한 뒤 파이프라인에 추가	Check feature boxes and the output layer, then add to pipeline
VisionTool.MatchingReview.FeatureFailureNext	특징 템플릿, Ratio, RANSAC 허용 오차를 조정하고 다시 미리보기	Adjust feature template, Ratio, and RANSAC tolerance, then run preview again
VisionTool.LineReview.EdgeSuccessFormat	라인 {0}개 / 엣지점 {1}개 / 피팅 길이 {2:0.#} px	Lines {0} / edge points {1} / fit length {2:0.#} px.
VisionTool.LineReview.EdgeSuccessHint	엣지점이 검출되었습니다. 파이프라인 추가 전 피팅 라인 길이와 안정성을 확인하세요.	Edge points were found; check fitted line length and stability before adding to the pipeline.
VisionTool.LineReview.MeasureSuccessHint	엣지 지지가 확인되었습니다. 측정 모드는 Line A 스캔 라인과 Line B 엣지의 거리를 비교합니다.	Edge support was found; distance mode will compare Line A scan lines with Line B edges.
VisionTool.LineReview.IntersectionLineSuccessHint	라인 후보가 검출되었습니다. 교차 모드는 Line A/B 피팅 라인이 만나는지 확인합니다.	Line candidates were found; intersection mode checks whether the fitted Line A/B pair crosses.
VisionTool.LineReview.EdgeFailureCause	원인 후보: ROI, 대비, 극성, 임계값, 스캔 각도, 샘플링 간격을 확인하세요.	Cause candidates: ROI, contrast, polarity, threshold, scan angle, or sampling interval.
VisionTool.LineReview.MeasureFailureCause	원인 후보: Line A/B ROI, 스캔 방향, 극성, 대비, 샘플링 간격을 확인하세요.	Cause candidates: Line A/B ROI, scan direction, polarity, contrast, or sampling interval.
VisionTool.LineReview.DistanceSuccessWithMmFormat	거리 {0:0.#} px / {1:0.###} mm / 검출 {2:0}개	Distance {0:0.#} px / {1:0.###} mm / detected {2:0}.
VisionTool.LineReview.DistanceSuccessHint	Line A/B 스캔 방향에서 엣지 간 거리를 측정했습니다.	Line A/B scan directions produced a measurable edge-to-edge distance.
VisionTool.LineReview.DistanceFailureCause	원인 후보: Line A/B ROI, 스캔 방향, 극성, 대비, 샘플링 간격을 확인하세요.	Cause candidates: Line A/B ROI, scan direction, polarity, contrast, or sampling interval.
VisionTool.LineReview.IntersectionSuccessHint	Line A/B 피팅 라인이 교차했습니다. 교차점 위치와 엣지 지지를 확인하세요.	Line A/B fitted lines crossed; check the point position and edge support.
VisionTool.LineReview.IntersectionFailureCause	원인 후보: Line A/B 엣지 누락, 평행한 피팅 라인, ROI 불일치, 낮은 대비를 확인하세요.	Cause candidates: missing Line A/B edges, parallel fitted lines, ROI mismatch, or low contrast.
VisionTool.Preset.Title	추천 프리셋	Recommended presets
VisionTool.Preset.Detail	기본=첫 검사 / 빠른=빠른 선별 / 정밀=최종 튜닝. 선택하면 적용 이유를 표시합니다.	Basic = first check / Fast = quick screening / Precise = final tuning. Select one to see why.
VisionTool.Preset.AppliedDetailFormat	{0}: {1} 값만 바뀌며 미리보기로 검증하세요.	{0}: {1} Values only; run Preview to verify.
VisionTool.Preset.MenuToolTip	추천 프리셋 선택	Choose recommended preset
VisionTool.Preset.Basic	기본	Basic
VisionTool.Preset.Fast	빠른	Fast
VisionTool.Preset.Precise	정밀	Precise
VisionTool.Preset.Matching.Basic.Description	고정 대상 첫 검사: 최상위 1개 후보, 각도/배율 탐색 끔	One best match, no angle or scale search. Good first check for fixed parts.
VisionTool.Preset.Matching.Fast.Description	빠른 확인: 작업 배율 축소, 엄격한 1개 후보	Lower work scale and one strict match. Use for quick screening before tuning.
VisionTool.Preset.Matching.Precise.Description	정밀 확인: 후보 3개, 좁은 각도 탐색 사용	Three candidates with a narrow angle search. Use after template position is stable.
VisionTool.Preset.EdgeMatching.Basic.Description	엣지 기본 검사: 안전한 Canny와 2px 검색 간격	One edge match with safe Canny and 2 px search step.
VisionTool.Preset.EdgeMatching.Fast.Description	빠른 엣지 확인: 모델 포인트 축소, 거친 검색, 엄격한 점수	Fewer model points, coarse search, and strict score for quick screening.
VisionTool.Preset.EdgeMatching.Precise.Description	정밀 엣지 확인: 더 많은 포인트, 1px 검색, 좁은 각도와 하이브리드 검증	More edge points, 1 px search, narrow angle scan, and hybrid verification.
VisionTool.Preset.FeatureMatching.Basic.Description	특징 기본 검사: 균형 잡힌 Ratio와 RANSAC 허용 오차	Balanced ratio and RANSAC tolerance for first verification.
VisionTool.Preset.FeatureMatching.Fast.Description	빠른 특징 확인: 더 느슨한 Ratio와 넓은 기하 허용 오차	Looser feature ratio with wider geometry tolerance for quick checks.
VisionTool.Preset.FeatureMatching.Precise.Description	정밀 특징 확인: 더 엄격한 Ratio와 좁은 기하 허용 오차	Stricter feature ratio with tighter geometry validation for final tuning.
VisionTool.Preset.Blob.Basic.Description	단순 이진화와 중간 면적으로 시작. 기준값은 대상/배경 밝기가 갈리는 지점에서 조정	Simple threshold with a medium area floor. Adjust the threshold where target and background brightness separate.
VisionTool.Preset.Blob.Fast.Description	단순 이진화와 큰 최소 면적으로 작은 노이즈를 제외	Simple threshold with a larger minimum area to exclude small noise.
VisionTool.Preset.Blob.Precise.Description	조명 편차에는 적응형 이진화, 작은 대상에는 낮은 최소 면적	Adaptive thresholding for uneven lighting and a lower minimum area for small targets.
VisionTool.Preset.Contour.Basic.Description	Contour 기본 검사: 외곽 윤곽과 중간 면적 기준으로 시작	External outlines with a medium area filter for first contour checks.
VisionTool.Preset.Contour.Fast.Description	Contour 빠른 검사: 작은 노이즈 윤곽을 건너뛰도록 면적 기준을 높임	External simple contours with a larger area floor to skip noise quickly.
VisionTool.Preset.Contour.Precise.Description	Contour 정밀 검사: 작은 윤곽과 근사 다각형으로 형상 튜닝	Smaller contours with polygon approximation for final shape tuning.
VisionTool.Preset.Line.Basic.Description	Line 기본 검사: 선택된 Line A/B에 균형 잡힌 대비와 스캔 간격 적용	Balanced contrast and scan interval for the selected Line A/B.
VisionTool.Preset.Line.Fast.Description	Line 빠른 검사: 빠른 엣지 확인을 위해 대비를 높이고 스캔 간격을 넓힘	Higher contrast and wider scan interval for quick edge checks.
VisionTool.Preset.Line.Precise.Description	Line 정밀 검사: 낮은 대비, 촘촘한 스캔, 핏라인 확장 적용	Lower contrast, denser scan lines, and fit-line extension for final tuning.
PipelineReview.Guide.Stage	리뷰	Review
PipelineReview.Guide.Current	현재 Step	Current Step
PipelineReview.Guide.Next	다음 확인	Next Check
PipelineReview.Guide.Decision	판정	Decision
PipelineReview.Guide.Checklist	검증 습관	Review Habit
PipelineReview.Guide.EmptyStage	Step 없음	No steps
PipelineReview.Guide.EmptyCurrentFormat	{0}에 리뷰할 Step이 없습니다	{0} has no review steps
PipelineReview.Guide.EmptyNext	Tool 결과를 Pipeline에 추가	Add a tool result to the pipeline
PipelineReview.Guide.EmptyDecision	판정할 결과 없음	No result to judge
PipelineReview.Guide.EmptyDetail	Tool View에서 결과를 Pipeline에 추가한 뒤 리뷰를 실행합니다.	Add a tool result from a Tool View, then run review.
PipelineReview.Guide.StageFormat	Step {0}/{1}	Step {0}/{1}
PipelineReview.Guide.RouteFormat	{0} -> {1}	{0} -> {1}
PipelineReview.Guide.RunningNext	리뷰 실행 중	Review is running
PipelineReview.Guide.RunningDecision	Step 결과 대기	Waiting for step result
PipelineReview.Guide.RunningDetail	선택한 Step의 리뷰 결과를 기다리는 중입니다.	The selected step is waiting for the review result.
PipelineReview.Guide.ValidationNext	리뷰 전에 검증 오류 수정	Fix validation errors before review
PipelineReview.Guide.ValidationDecision	아직 Pipeline 판정 불가	Pipeline cannot be judged yet
PipelineReview.Guide.ValidationDetail	검증 상세를 열어 라우트 또는 파라미터를 먼저 수정하십시오.	Open the validation detail and fix the route or parameters first.
PipelineReview.Guide.DisabledNext	Step을 켠 뒤 판정	Enable this step before judging it
PipelineReview.Guide.DisabledDetail	이 Step은 꺼져 있어서 리뷰 중 건너뜁니다.	This step is skipped during review because it is disabled.
PipelineReview.Guide.InputMissingNext	입력 레이어 연결 또는 이미지 로드	Connect or load the input layer
PipelineReview.Guide.InputMissingDetail	선택한 입력 레이어에 이미지가 없어 아직 이 Step을 판정할 수 없습니다.	The selected input layer has no image, so this step cannot be judged yet.
PipelineReview.Guide.InputPendingNext	리뷰 실행으로 이전 Step 입력 생성	Run Review to create this input from the earlier step
PipelineReview.Guide.InputPendingDetail	이 입력은 이전 활성 Step이 리뷰 실행 중 생성합니다.	An earlier enabled step will create this input when Review runs.
PipelineReview.Status.InputMissing	입력 없음	Input missing
PipelineReview.Guide.ReadyNext	리뷰 실행으로 측정 결과 갱신	Run Review to refresh the measured result
PipelineReview.Guide.ReadyDetail	출력 이미지는 있지만 리뷰 실행으로 측정 결과를 다시 갱신합니다.	An output image exists, but Run Review refreshes the measured result.
PipelineReview.Guide.BeforeRunNext	리뷰 실행으로 Step 출력 생성	Run Review to create the step output
PipelineReview.Guide.BeforeRunDetail	리뷰 실행으로 이 Step의 출력 이미지와 측정 결과를 생성합니다.	Run Review creates the output image and measured result for this step.
PipelineReview.Guide.OkNext	출력 확인 후 다음 Step	Check output, then next step
PipelineReview.Guide.OkFinalNext	출력/지표/Good-Bad 비교 후 승인	Compare output/metrics/pair, then accept
PipelineReview.Guide.NgNext	파라미터/라우트 조정 후 재리뷰	Tune parameters/route, then rerun review
PipelineReview.Guide.NgDetail	선택 Step의 결과를 확인하고 라우트 또는 파라미터를 조정합니다.	Review the selected step's result and adjust the route or parameters.
PipelineReview.Guide.Pair	Good/Bad 쌍	Good/Bad Pair
PipelineReview.Guide.PairMetric	지표 확인	Metric Check
PipelineReview.Guide.TriageFailure	원인	Cause
PipelineReview.Guide.TriageAdjustment	조정	Adjust
PipelineReview.Guide.TriageRerun	재리뷰	Rerun
